question,answer
Zu welchen statistischen Fehlern kommt es bei der Datenerhebung häufig?,"systematische (stichprobenfremde) Fehler, deren Auftreten in jeder Stichprobe und Vollerhebung möglich ist; Stichprobenfehler aufgrund fehlender Repräsentativität der Stichprobe (nicht bei Vollerhebung) -> Minimierung durch geeignete Auswahlverfahren"
Was ist das Ziel eines Stichprobenverfahrens?,Herstellen einer möglichst großen Repräsentativität zur Übertragung der Ergebnisse auf die Grundgesamtheit
Mit welchen Verfahren wird eine möglichst große Repräsentativität hergestellt?,Verfahren der Zufallsauswahl und mit Einschränkungen Verfahren der bewussten Auswahl
Welche Verfahren sind unter statistischen Gesichtspunkten sehr problematisch?,willkürliche Auswahl (Befragung des Mannes auf der Straße)
Was erlauben Verfahren der Zufallsauswahl im Gegensatz zu Verfahren der bewussten Auswahl?,Einsatz des gesamten wahrscheinlichkeitstheoretischen Instrumentariums der Statistik (z.B. Bestimmung von Konfidenzintervallen)
Warum ist eine Zufallsauswahl oft nicht durchführbar?,aus praktischen Gründen
Wie werden Stichprobenverfahren klassifiziert (2 Oberkategorien)?,Zufallsauswahl und keine Zufallsauswahl
Wie werden Verfahren der Zufallsauswahl klassifiziert?,einfache Zufallsauswahl und komplexe Zufallsauswahl
Was sind keine Zufallsauswahlverfahren?,willkürliche Auswahl und bewusste Auswahl
Was sind Verfahren der bewussten Auswahl?,Konzentrationsprinzip & Quotenauswahl
Was sind Verfahren der komplexen Zufallsauswahl?,Schichtenauswahl; mehrstufige Auswahl; Klumpenauswahl
Beschreiben Sie die einfache Zufallsauswahl!,Gleiche Chance für jeden Merkmalsträger der Grundgesamtheit des Einbeziehens in die Stichprobe entsprechend dem Urnenmodell
Beschreiben Sie die Schichtenauswahl (Stichprobenverfahren)!,1.) Zerlegung der Grundgesamtheit in in sich möglichst homogene und untereinander heterogene Schichten 2.) Ziehen einer Zufallsstichprobe aus jeder Stichprobe 3.) Zusammensetzen der Ergebnisse
Beschreiben Sie die mehrstufige Auswahl (Stichprobenverfahren)!,1.) Zerlegung der Grundgesamtheit in einzelne in sich heterogene Klumpen (verkleinertes Abbild der Grundgesamtheit) 2.) Bestimmung eines oder mehrerer Klumpen mittels einer Zufallsauswahl 3.) Durchführung einer Zufallswauswahl innerhalb des Klumpens
Beschreiben Sie die Klumpenauswahl (Stichprobenverfahren)!,"Verlaufen dieses Verfahrens zunächst äquivalent zur mehrstufigen Auswahl, jedoch Befragung/ Untersuchung aller Objekte innerhalb eines Klumpens"
Woran scheitern Verfahren der Zufallsauswahl häufig?,kein Vorliegen vollständiger Listen aller Objekte
Beschreiben Sie die Auswahl nach dem Konzentrationsprinzip (Abschneideverfahren)!,Beschränkung der Stichprobe auf besonders ins Gewicht fallende Fälle
Beschreiben Sie die Quotenauswahl!,Festlegung bestimmter Auflagen/ Quoten bei der Befragung hinsichtlich der zu Befragendenden in einem Quotenplan für möglichst hohe Repräsentativität; Auswahl der Erhebungseinheiten durch den Interviewer selbst
Was ist ein Vorteil der bewussten Auswahl im Vergleich zu Verfahren der Zufallsauswahl?,einfachere Anwendung
Warum ist die willkürliche Auswahl völlig ungeeignet?,"Befragung irgendwelcher, meist einfach zu erreichender Personen ohne Vorüberlegungen"
Was ist ein Nachteil der bewussten Auswahl im Vergleich zur Zufallsauswahl?,"strenggenommen kein Erlauben des Einsatzes des wahrscheinlichkeitstheoretischen Instrumentariums der Statistik, jedoch unter bestimmten Anwendungsvoraussetzungen trotzdem gute Ergebnisse"
Welche Möglichkeiten bestehen für die Datengewinnung?,Beobachtungen; Experimente; automatische Erfassung (Internet & Scannerkassen); Befragung (große Bedeutung)
Welche Befragungsformen werden je nach Thematik eingesetzt?,mündliche Befragung; telefonische Befragung (Spezialform der mündlichen Befragung); schriftliche Befragung; Befragung über das Internet (E-Mail/ Fragebögen) als Spezialform der schriftlichen Befragung
Was ist das Nichtbeantwortungsproblem?,Verweigern der Antwort i.d.R. durch einen beachtlichen Teil der Befragten
Wann ist das Nichtbeantwortungsproblem problematisch?,"bei bestehendem Zusammenhang zwischen der Fragestellung und denjenigen, die die Antwort verweigern -> fehlende Repräsentativität"
Was sind Gegenmaßnahmen bzgl. des Nichtbeantwortungsproblems?,Pilotstudien; Umformulieren/ Weglassen bestimmter Fragen; Wechseln der Befragungstechnik; Erhöhung des Stichprobenumfangs; Befragung von Ersatzpersonen (bei Quotenauswahl)
Wovon hängt die Größe des Stichprobenumfangs ab?,gewünschte Genauigkeit; Streuung des gesuchten Merkmals in der Grundgesamtheit; Größe der Grundgesamtheit
Welche Regel gilt für den Stichprobenumfang?,"Je genauer das Ergebnis sein soll, je mehr das Merkmal streut und je größer die Grundgesamtheit ist, desto größer muss der Stichprobenumfang sein."
Wie kann der Stichprobenumfang berechnet werden?,Über wahrscheinlichkeitstheoretische Berechnungen für die Verfahren der Zufallsauswahl; bei der bewussten Auswahl nicht möglich
Wodurch wird der Stichprobenumfang in der Praxis bestimmt?,Durch Zeit und Kosten
Was ist eine Faustregel für den Stichprobenumfang?,auf keinen Fall unter 30; bei seriösen Analysen und großen Grundgesamtheiten zumindest im hohen dreistelligen Bereich
Welche Fragetypen enthält ein Fragebogen i.d.R.?,"Identifikationsfragen (z.B. Geschlecht, Alter); Informationsfragen (Gegenstand der Erhebung), Kontrollfragen (Überprüfung der Konsistenz der Antworten)"
Was sind Überlegungen bei der Fragebogenerstellung?,"Länge des Fragebogens (Zusammenhang mit dem Nichtbeantwortungsproblem); optische Aufmachung des Fragebogens (übersichtlich und seriös); Reihenfolge der Fragen (systematisch und möglichst zunächst einfache Fragen); Formulierung der Fragen (kurz und gut verständlich); Neutralität der Fragen und Antwortmöglichkeiten; offene, geschlossene oder als Kompromiss halboffene Fragen; Pilotstudie mit Testpersonen; Hinweise auf Anonymität/ rechtliche Grundlagen/ Untersuchungsziel im Begleitschreiben"
Was ist die Vorgehensweise bei der Datenaufbereitung?,1.) Erstellung Standarddatenformat 2.) Datensichtung 3.) Behandlung fehlender Merkmalswerte 4.) Behandlung falscher Merkmalswerte 5.) Datentransformation
Beschreiben Sie die Erstellung des Standarddatenformats im Zuge der Datenaufbereitung!,Erstellung von Datentabellen für Querschnittsanalysen oder Längsschnittanalysen
Was ist der Unterschied zwischen Querschnittanalysen und Längsschnittanalysen?,Querschnittsanalysen -> verschiedene Merkmalsträger zu einem Zeitpunkt; Längsschnittanalysen -> ein Merkmalsträger zu unterschiedlichen Zeitpunkten
Beschreiben Sie den Prozess der Datensichtung im Zuge der Datenaufbereitung!,"Datenanreicherung oder Datenreduktion notwendig?; deskriptive Analysen (Häufigkeitstabellen, Lageparameter, einfache Grafiken) zur Beurteilung der Datenqualität"
Wie werden fehlende Merkmalswerte im Zuge der Datenaufbereitung behandelt?,Weglassen (Datensätze oder Merkmale?) oder Auffüllen (durch Nacherhebung oder Schätzung) oder Codierung als unbekannt
Wie werden falsche Merkmalswerte im Zuge der Datenaufbereitung behandelt?,"Welche Werte sind tatsächlich falsch und welche Werte sind Ausreißer?; Orientierung an Wertebereichen, Plausibilitätsüberlegungen und Standardabweichungen; Korrigieren oder Ausschließen?"
Was sind Varianten der Datentransformationen im Zuge der Datenaufbereitung?,Umskalierung; Klassenbildung; Normierung und Standardisierung (z.B. z-Transformation)
Was ist der Sinn der Umskalierung im Zuge der Datenaufbereitung?,Durchführung bestimmter statistischer Verfahren
Was ist der Sinn der Klassenbildung im Zuge der Datenaufbereitung?,Verhindern unzureichender Besetzung einzelner Werte und Erhalten aussagekräftigerer Werte
Was ist der Sinn der Normierung und Standardisierung im Zuge der Datenaufbereitung?,Herstellen der Vergleichbarkeit unterschiedlicher Merkmale
Was ist der Unterschied zwischen der einfachen und der multiplen Regressionsanalyse?,einfache Regressionsanalyse -> nur eine erklärende (= unabhängige Variable); multiple Regressionsanalyse -> mehrere erklärende Variablen
Was ist der Unterschied zwischen der Korrelationsanalyse und der Regressionsanalyse?,Korrelationsanalyse -> Überprüfung der Stärke des Zusammenhangs zwischen unterschiedlichen Merkmalen; Regressionsanalyse -> Berücksichtigung zusätzlich der Art der funktionalen Abhängigkeit und bei nicht eindeutigen Abhängigkeiten lag-Strukturen
Welches Skalenniveau ist bei der Regressionsanalyse erforderlich?,metrisches Skalenniveau für die abhängigen und unabhängigen Variablen
Von welchen Abhängigkeiten wird in den meisten Fällen ausgegangen?,lineare Abhängigkeiten
Wie erfolgt die Schätzung der Regressionsfunktion?,meist mit der Methode der kleinsten Quadrate (KQ-Methode)
Was ist das Ziel bei der Schätzung der Regressionsfunktion?,"Minimierung der quadrierten Abstände bzw. Restgrößen (=Residuen) zwischen den realisierten Werten und den geschätzten Werten -> Je kleiner die Abweichungen, desto besser die Regressionsgerade"
Was sind die wichtigsten Ursachen für große Residuen?,Fehlende Berücksichtigung wichtiger Einflussgrößen; Existenz nicht-linearer Zusammenhänge; Mess- und Auswertfehler (fehlende Repräsentativität der Daten)
Wie sieht eine Regressionsgerade aus?,Abhängige Variable = ß0 + ß1 * unabhängige Variable 1 + ß2 * unabhängige Variable 2...
Was ist die Vorgehensweise bei einer Regressionsfunktion?,1.) Modellformulierung 2.) Schätzung der Regressionsfunktion 3.) Prüfung der Regressionsfunktion 4.) Prüfung der Regressionskoeffizienten 5.) Prüfung der Modellprämissen
Was ist bei der Modellformulierung einer Regressionsanalyse zu beachten?,(ökonomisch) plausibler Ursache-Wirkungs-Zusammenhang; Streudiagramme als Entscheidungshilfe; Berücksichtigung nicht zu vieler Variablen
Was ist bei der Schätzung der Regressionsfunktion zu beachten??,"KQ-Methode; mehrere Schätzdurchgänge mit Berücksichtigung verschiedener Variablenkombinationen; plausible Koeffizienten (Vorzeichen, absolute Größe)"
Welche Kenngrößen sind bei der Prüfung der Regressionsfunktion zu berücksichtigen?,Determinationskoeffizient bzw. Bestimmtheitsmaß (R-Quadrat); F-Statistik; Standardfehler der Schätzung
Was ist die Aussagekraft des Bestimmtheitsmaß?,"Maßzahl für die Qualität einer Regression, bei der zwischen erklärten und nicht-erklärten Abweichungen getrennt wird; Wertebereich zw. 0 und 1; bei 1 perfekte Erklärung; bei multipler Regression zum Vergleich korrigiertes R-Quadrat"
Was ist die Aussagekraft der F-Statistik?,"Aussage, ob das geschätzte Modell allg. auf die Grundgesamtheit übertraggbar, d.h. signifikant ist durch Test der Nullhypothese: ß1 = ß2 = ...ßi = 0 (keinerlei Zusammenhang bzw. alle Variablen haben keinen Einfluss); Ausweis eines Signifikanzniveaus"
Wann ist bei der F-Statistik das geschätzte Modell signifikant?,"Bei Ablehnung der Nullhypothese, d.h. von SPSS berechnetes Signifikanzniveau (z.B. 0,02 bzw. 2%) < vom Nutzer festgelegtes Signifikanzniveau (z.B. 0,05 bzw. 5%)"
"Wie ist ein R-Quadrat von 0,96 zu interpretieren?",96% der Streuung der y-Variable werden durch die Regressionsgerade erklärt
Was ist die Aussagekraft des Standardfehlers der Schätzung?,Messung des mittleren Fehlers der berechneten Regressionsfunktion; Entsprechung der Stndardabweichung der Residuen (Differenz aus Beobachtungswerten zu Prognosewerten); im Optimalfall deutlich unter 20% der zu schätzenden y-Werte
Welche statistischen Größen sind bei der Prüfung der Regressionskoeffizienten zu berücksichtigen?,t-Test; Konfidenzintervall für die Regressionskoeffizienten; standardisierte Regressionskoeffizienten
Was ist die Aussagekraft des t-Test?,"ähnlich F-Test, aber Prüfung der einzelnen Koeffizienten; Nullhypothese ßj = 0 (kein Zusammenhang zwischen der getesteten unabhängigen Größe und der abhängigen Größe); Ausweis eines Signifikanzniveaus"
Was ist die Aussagekraft des Konfidenzintervalls für die Regressionskoeffizienten?,Mit einer Wahrscheinlichkeit von x % liegt der entsprechende Regressionskoeffizient für die Grundgesamtheit in einem bestimmten Intervall?
Was ist bzgl. des Konfidenzintervalls für die Regressionskoeffizienten besonders problematisch?,"Überdecken des Werts 0 durch das Intervall -> keine eindeutige Richtung des Einflusses, d.h. x-Variable kann positiven, negativen oder gar keinen Einfluss auf y-Variable haben"
Was gilt in Bezug auf das Konfidenzintervalls für die Regressionskoeffizienten?,"Je enger das Intervall, desto besser, weil genauere Prognose, welchen Einfluss x-Variable auf y-Variable hat"
Was ist die Aussagekraft der standardisierten Regressionskoeffizienten?,Die Variable mit dem größten absoluten Wert hat den stärksten Einfluss auf die zu erklärende Größe.
Unter welcher Voraussetzung liefert die KQ-Methode gute Schätzergebnisse?,Nur bei Erfüllung der Modellprämissen des linearen Regressionsmodells
Nennen Sie die zu erfüllenden Modellprämissen des linearen Regressionsmodells!,keine Multikollinearität; keine Autokorrelation
Was bedeutet keine Multikollinearität?,keine bestehenden linearen Abhängigkeiten zwischen den erklärenden Variablen
Was ist die Folge von Multikollinearität?,unplausible Schätzwerte
Wie wird die Multikollinearität gemessen und was ist die Faustregel?,Über den Varianzinflationsfaktor (VIF) << 10 (in allen Fällen)
Wie wird das Multikollinearitätsproblem gelöst?,Entfernen von Variablen aus dem Modell
Was bedeutet keine Autokorrelation?,keine Korrelation der Residuen miteinander (v.a. bei Zeitreihendaten relevant; bei Querschnittsdaten Notwendigkeit einer systematischen Ordnung für Überprüfung)
Was ist die Folge von Autokorrelation?,Tests und Konfidenzintervalle nicht mehr vernünftig interpretierbar
Wie wird Autokorrelation gemessen?,Über den Durbin-Watson-Test (Wertebereich 0 bis 4)
Was ist die Faustregel bzgl. des Durbin-Watson-Tests?,"zw. 1,5 und 2,5 in Ordnung (<< 1,5: positive Autokorrelation; >>2,5: negative Autokorrelation)"
Wie wird das Autokorrelationsproblem gelöst?,Berücksichtigung zusätzlicher Variablen oder andere funktionale Form der Regressionsgleichung
Was ist eine Dummy-Variable?,"binäre Variable, die nur die Werte 0 und 1 annimmt"
Was sind Anwendungsgebiete für Dummy-Variablen?,"Aufnahme nominal skalierter Merkmale als erklärende Größen in die Regressionsanalyse & Modellierung von Niveau- und Steigungsänderungen , da viele Probleme bei den Modellannahmen durch Strukturbrüche bedingt sind"
Was ist das Problem bei Strukturbrüchen?,lineare Regressionsgerade -> unbefriedigende Ergebnisse
Wieviele Dummy-Variablen müssen bei Aufnahme nominal skalierter Merkmale als erklärende Größen verwendet werden?,m-1 Dummy-Variablen bei einer nominal skalierten Variable mit m unterschiedlichen Ausprägungen
Was ist unter der Diskriminanzanalyse zu verstehen?,multivariates Verfahren zur Analyse von Gruppenunterschieden (z.B. bei Kreditwürdigkeitsprüfungen)
Was ist die Ausgangssituation bei der Diskriminanzanalyse?,"gegeben: zumindest 2 Gruppen (z.B. diejenigen, die Kredit zurückgezahlt und Kredit nicht zurückgezahlt haben)"
Was ist das Ziel bei der Diskriminanzanalyse?,"Anhand historischer Datenbestände wissen, ob sich diese Gruppen signifikant voneinander unterscheiden und welche Variablen zur Unterscheidung zwischen den Gruppen am besten geeignet sind"
Was ist in Folge einer gelungenen klaren Unterscheidung der Gruppen bei der Diskriminanzanalyse möglich?,Zuordnen neuer Elemente (hier: Kreditnehmer) zu den Gruppen
Was sind die Skalenniveaus bei der Diskriminanzanalyse?,Gruppen -> nominale Skalierung; Merkmalsvariablen -> metrische Skalierung
Inwiefern unterscheidet sich die Diskriminanazanalyse bzgl. der Skalierung von der Regressions- und Varianzanalyse?,Betrachtung der Abhängigkeit einer nominal skalierten Variablen (= Gruppen) von metrisch skalierten Variablen
Was ist der Unterschied der Diskriminanzanalyse zur Clusteranalyse?,vorgegebene Gruppen (aus dem Sachzusammenhang oder einer vorgeschalteten Clusteranalyse)
Welche Anforderungen sollten bei der Durchführung einer Diskriminanzanalyse berücksichtigt werden?,Zahl der Objekte/ Fälle >> (Soll) Zahl der Variablen > (Soll) Zahl der Gruppen > (Muss) Zahl der Diskriminanzfunktionen
Was ist die Vorgehensweise bei einer Diskriminanzanalyse?,1.) Definition der Gruppen 2.) Formulierung der Diskriminanzfunktion(en) 3.) Schätzung der Diskriminanzfunktion(en) 4.) Prüfung der Diskriminanzfunktion(en) 5.) Prüfung der Merkmalsvariablen 6.) Klassifikation neuer Elemente
Was ist bei der Formulierung der Diskriminanzfunktion(en) zu beachten?,Auswahl geeigneter metrisch skalierter Variablen nach (ökonomischen) Plausibilitätsüberlegungen
Wie findet die Prüfung der Diskriminanzfunktion(en) statt?,Mittels Klassifikationsmatrix (Trefferquote muss besser sein als bei zufälliger Zuordnung) sowie mittels Kennzahlen wie Eigenwert oder Wilks Lambda
Was ist bei der Prüfung der Merkmalsvariablen im Kontext der Diskriminanzanalyse zu beachten?,Welche Variablen sind besonders wichtig für die Gruppenbildung?
Wann ist die Klassifikation neuer Elemente im Kontext der Diskriminanzanalyse sinnvoll?,"nur sinnvoll, wenn Diskriminanzfunktion(en) ausreichend Erklärungswert haben"
Was ist die Faktorenanalyse?,"Reihe von Verfahren zur Datenreduktion (z.B. Hauptkomponentenanalyse, Hauptachsenanalyse) -> Verdichtung vieler einzelner (i.d.R. metrisch skalierter) Beobachtungswerte zu einer kleinen Zahl hypothetischer Variablen"
Worum geht es de-facto bei der Faktorenanalyse?,Erzeugung aus sehr vielen Variablen Xi einiger weniger fiktiver Variablen Zi mittels Linearkombination zum Erklären einer Variable Y
Was ist der Grund für die Datenreduktion bei der Faktorenanalyse?,"übersichtlichere Darstellung der Zusammenhänge, da zu viele Xi zu unübersichtlich für weitere Analysen"
Was ist die konkrete Vorgehensweise bei der Faktorenanalyse?,"Herleiten jeweils einer gemeinsamen Hintergrundsvariable Z (= Faktor) für stark korrelierte X-Variablen, die die verschiedenen X-Variablen repräsentiert"
Was ist die mathematische Darstellung der Datenreduktion bei der Faktorenanalyse?,Z1 = a1 * X1 + a2 * X2 + a3 * X3; Z2 = a4 * X4 + a5 * X5 + a6 * X6 
Was sind Probleme bei der Faktorenanalyse?,Informationsverlust durch das Konstruieren einer fiktiven Variable aus mehreren Variablen; Interpretation der fiktiven Faktoren teilweise problematisch; sehr unterschiedliche Methoden der Faktorenanalyse -> d.h. nur für sehr erfahrene Anwender geeignet
Was sind Beispiele der Faktorenanalyse?,Intelligenzmessung & Länderanalyse/ Regionalanalyse/ Städteanalyse (z.B. für Förderprogramme oder Standortentscheidungen)
Erklären Sie das Beispiel der Intelligenzmessung im Kontext der Faktorenanalyse konkreter!,"Bewertung Personen anhand vieler Tests zu unterschiedlichen Fragestellungen (z.B. Gruppierung von Symbolen, Erkennung von Ähnlichkeiten, Wortschatz,Satzbau, mathematisches Grundverständnis etc.) -> Reduzieren dieser Vielzahl von Variablen auf 3 fiktive Variablen bidliche, mathematische und verbale Fähigkeiten -> Erklärung des IQ durch diese drei fiktiven Variablen"
